Genus: 2
Length: 10
Intersection: false
Number of data: 200

Genus,Length,Dilitation,isPseudoAnosov,Intersection_Number,Word
2,10,7.379905510930653,true,-,z1z1y0Y0z0z1z1y1y1z0z1
2,10,7.187604693349817,true,-,y1z1y1z1Z0y1Y0y0Z1y0
2,10,0.0,false,-,Y0y1z1z1Y1y1Y1Y0Z1Z1
2,10,7.893517075457439,true,-,z0Y1Z0z0z1z0z0y0z1Z1
2,10,5.877427860332627,true,-,Z0y0Y0Y0Y1Y0Z0Y1z1z0
2,10,5.744501698038052,true,-,y1Y1Z0z0Y1y0y0z0Z1z0
2,10,7.55152018275964,true,-,z1z0Y0Y0y0Y1Y1y1z1Z1
2,10,6.940466381897247,true,-,y0Z0y0Y1Z0Y0z1z0Y0z0Y0
2,10,6.8410114787308824,true,-,Z0y1z1y0Y0Z1Y0Y1z0y1Y0
2,10,4.261663605468406,true,-,z0y1y1y1z1Z0y0Z0Y0Z0
2,10,6.227243927215165,true,-,z1Z0Y1z1Z1Y1Y0z1Y1y1
2,10,0.0,false,-,z1y1z1Z0Y1Z1Y1Z0z1z1
2,10,8.716022451751487,true,-,Y1y1Z1Y0y1z0Y0z1Y0z1Z0
2,10,6.312212920677252,true,-,Z1y1Z0Z0y0Y1y0Y0y1z1
2,10,4.90164243637866,true,-,y0y0Z0y0Z0Z0y0Z0Z1Z0
2,10,6.551286820420589,true,-,y1y1z1z0y0z0y1Y0Y1z1z1
2,10,6.681929934028653,true,-,z1Z0z1z0y0z0Z0Y0y0Y0
2,10,4.897767008314812,true,-,Y0Y1y0y1Z1Y1y0y1y1Y0Z0
2,10,0.0,false,-,z1y0Y0Y0y0Y0Y1Z1y0y0
2,10,7.186178469537653,true,-,z0z1Z0z0Y0z1Z0z0Y0Y0y0
2,10,6.211492339465435,true,-,z0z1z1Y0z0Z0y0y0z0z1
2,10,5.919368729771235,true,-,y1Y0Y1Z0z1z0Z1z1Y1y0z1
2,10,5.432229952298645,true,-,Y1y1Z0Y0z0z0Y0z0Y0z1
2,10,5.727514739354657,true,-,Y1y0y0Y1Y1y1Y0z0Z1z0
2,10,8.19125365885851,true,-,z0Y1Y1y1z1Y0Z1Y0y1Y0Z1
2,10,0.0,false,-,Y0Y0z1y0Z1y0z1y0Z1y1z1
2,10,7.476015822818807,true,-,z0Z1Y1Z0y0y1y1Z1z1z0y1
2,10,0.0,false,-,Z1y1z0z1z0y1Y1Z0y1y1Z0
2,10,8.283431703914854,true,-,z1Z0Z1Z0Y0Y0Z0Z1Z0y0Y0
2,10,8.865150513221103,true,-,z1z0z1Y0y1Y0z1z0y1z0y0
2,10,5.333936124652373,true,-,Y1y0z0y1y1Z1y1y1y1Y0Y1
2,10,9.7461302137023,true,-,z0Z1Z1Y0Y0Y1Z1z1y0Z1z0
2,10,8.29599938457575,true,-,y1Y1Z0Z0y0z0Z1z0Z1Z0Y0
2,10,0.0,false,-,Y0Y1z0Y0y1Y1Z0y0y0z0
2,10,6.5328383821011995,true,-,Y1Z0z0Y1Y1y0y0Y1z0Z1z1
2,10,0.0,false,-,z1z0Y1y1Y1Z1Z0y1Z0Y1Z0
2,10,6.8787960615903545,true,-,z0y0z0y1Z1z1Z0Z1Y0Z0
2,10,9.57437654560002,true,-,Y1Z0y0y1z1z1Z1y0y1Z1y0
2,10,8.367568769998076,true,-,z1z0Z1z1Y0Z1y0Y0Z0y0y1
2,10,6.6658505835528175,true,-,y0Z0Y0z1y0Y1z1Y1Y0Y1z1
2,10,7.733930826996508,true,-,y1Y0y0z1z0Y1z1Z0Y0z0y0
2,10,7.6853969719613175,true,-,z1z0z1z1z0Y0Z0Z0Z1z1
2,10,4.843850110589851,true,-,Y1Z0Y1y1y1y0Y0y0y0z1
2,10,7.192477401600885,true,-,y0z0z1Z0z0z1z0y0Z1y0
2,10,0.0,false,-,y0Z0y0y0y1Y1Z0Y1Y1y0Y0
2,10,6.909841533214666,true,-,Y0Z1z0Z1Z0y1Z0z0z1y1
2,10,7.410135870131185,true,-,Z0z1Y0y1Y0y0y0y1y1z0Z0
2,10,7.351097632119948,true,-,Y0Z1z0Z0y0y1z0z1y0y0
2,10,8.584067047042824,true,-,Z0y0z0y0y0Y1Z0Z1Y0z1Z1
2,10,6.480626282872398,true,-,z0Z0z1y1z0z0z1Y0Y1Z0
2,10,6.179649484401494,true,-,Z0Z1y0z0Y1z1y0y0y1y0Y0
2,10,5.89780069754624,true,-,Y1z0z0Z1y1y1Y0Y1Y1y0
2,10,7.238966809712022,true,-,Z1Z0Y1y0Y0y0Z1z0Z0z0y0
2,10,0.0,false,-,y1Y0z1Y1y1Z1z1Y1z1Y0
2,10,7.822803971725396,true,-,Y0Z0Y0Z1z0y1z1y0y0Y0z1
2,10,6.334572508694537,true,-,Z1Y0Z0y0Z0Y1y0Y1z0z1Y0
2,10,6.260072622905285,true,-,Y0y0Y0y0Y1y1Y1y1y1z0Z1
2,10,10.141472687148802,true,-,Z0z1z1Y0Y0Z1Y0Z1z0Z1Z1
